Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.20 | 0.5 | -0.20
11 | -0.5 | 0.22 | 0.5 | -0.22
12 | -0.5 | 0.24 | 0.5 | -0.24
13 | -0.5 | 0.26 | 0.5 | -0.26
14 | -0.5 | 0.28 | 0.5 | -0.28
15 | -0.5 | 0.30 | 0.5 | -0.30
16 | -0.5 | 0.32 | 0.5 | -0.32
17 | -0.5 | 0.34 | 0.5 | -0.34
18 | -0.5 | 0.36 | 0.5 | -0.36
19 | -0.5 | 0.38 | 0.5 | -0.38
20 | -0.5 | 0.40 | 0.5 | -0.40
21 | -0.5 | 0.42 | 0.5 | -0.42
22 | -0.5 | 0.44 | 0.5 | -0.44
23 | -0.5 | 0.46 | 0.5 | -0.46
24 | -0.5 | 0.48 | 0.5 | -0.48
25 | -0.5 | 0.50 | 0.5 | -0.50
26 | -0.5 | 0.52 | 0.5 | -0.52
27 | -0.5 | 0.54 | 0.5 | -0.54
28 | -0.5 | 0.56 | 0.5 | -0.56
29 | -0.5 | 0.58 | 0.5 | -0.58
30 | -0.5 | 0.60 | 0.5 | -0.60
31 | -0.5 | 0.62 | 0.5 | -0.62
32 | -0.5 | 0.64 | 0.5 | -0.64
33 | -0.5 | 0.66 | 0.5 | -0.66
34 | -0.5 | 0.68 | 0.5 | -0.68
35 | -0.5 | 0.70 | 0.5 | -0.70
36 | -0.5 | 0.72 | 0.5 | -0.72
37 | -0.5 | 0.74 | 0.5 | -0.74
38 | -0.5 | 0.76 | 0.5 | -0.76
39 | -0.5 | 0.78 | 0.5 | -0.78
40 | -0.5 | 0.80 | 0.5 | -0.80
41 | -0.5 | 0.82 | 0.5 | -0.82
42 | -0.5 | 0.84 | 0.5 | -0.84
43 | -0.5 | 0.86 | 0.5 | -0.86
44 | -0.5 | 0.88 | 0.5 | -0.88
45 | -0.5 | 0.90 | 0.5 | -0.90
46 | -0.5 | 0.92 | 0.5 | -0.92
47 | -0.5 | 0.94 | 0.5 | -0.94
48 | -0.5 | 0.96 | 0.5 | -0.96
49 | -0.5 | 0.98 | 0.5 | -0.98
50 | -0.5 | 1.00 | 0.5 | -1.00
51 | -0.5 | 1.02 | 0.5 | -1.02
52 | -0.5 | 1.04 | 0.5 | -1.04
53 | -0.5 | 1.06 | 0.5 | -1.06
54 | -0.5 | 1.08 | 0.5 | -1.08
55 | -0.5 | 1.10 | 0.5 | -1.10
56 | -0.5 | 1.12 | 0.5 | -1.12
57 | -0.5 | 1.14 | 0.5 | -1.14
58 | -0.5 | 1.16 | 0.5 | -1.16
59 | -0.5 | 1.18 | 0.5 | -1.18
60 | -0.5 | 1.20 | 0.5 | -1.20
61 | -0.5 | 1.22 | 0.5 | -1.22
62 | -0.5 | 1.24 | 0.5 | -1.24
63 | -0.5 | 1.26 | 0.5 | -1.26
64 | -0.5 | 1.28 | 0.5 | -1.28
65 | -0.5 | 1.30 | 0.5 | -1.30
66 | -0.5 | 1.32 | 0.5 | -1.32
67 | -0.5 | 1.34 | 0.5 | -1.34
68 | -0.5 | 1.36 | 0.5 | -1.36
69 | -0.5 | 1.38 | 0.5 | -1.38
70 | -0.5 | 1.40 | 0.5 | -1.40
71 | -0.5 | 1.42 | 0.5 | -1.42
72 | -0.5 | 1.44 | 0.5 | -1.44
73 | -0.5 | 1.46 | 0.5 | -1.46
74 | -0.5 | 1.48 | 0.5 | -1.48
75 | -0.5 | 1.50 | 0.5 | -1.50
76 | -0.5 | 1.52 | 0.5 | -1.52
77 | -0.5 | 1.54 | 0.5 | -1.54
78 | -0.5 | 1.56 | 0.5 | -1.56
79 | -0.5 | 1.58 | 0.5 | -1.58
80 | -0.5 | 1.60 | 0.5 | -1.60
81 | -0.5 | 1.62 | 0.5 | -1.62
82 | -0.5 | 1.64 | 0.5 | -1.64
83 | -0.5 | 1.66 | 0.5 | -1.66
84 | -0.5 | 1.68 | 0.5 | -1.68
85 | -0.5 | 1.70 | 0.5 | -1.70
86 | -0.5 | 1.72 | 0.5 | -1.72
87 | -0.5 | 1.74 | 0.5 | -1.74
88 | -0.5 | 1.76 | 0.5 | -1.76
89 | -0.5 | 1.78 | 0.5 | -1.78
90 | -0.5 | 1.80 | 0.5 | -1.80
91 | -0.5 | 1.82 | 0.5 | -1.82
92 | -0.5 | 1.84 | 0.5 | -1.84
93 | -0.5 | 1.86 | 0.5 | -1.86
94 | -0.5 | 1.88 | 0.5 | -1.88
95 | -0.5 | 1.90 | 0.5 | -1.90
96 | -0.5 | 1.92 | 0.5 | -1.92
97 | -0.5 | 1.94 | 0.5 | -1.94
98 | -0.5 | 1.96 | 0.5 | -1.96
99 | -0.5 | 1.98 | 0.5 | -1.98
100 | -0.5 | 2.00 | 0.5 | -2.00
101 | -0.5 | 2.02 | 0.5 | -2.02
102 | -0.5 | 2.04 | 0.5 | -2.04
103 | -0.5 | 2.06 | 0.5 | -2.06
104 | -0.5 | 2.08 | 0.5 | -2.08
105 | -0.5 | 2.10 | 0.5 | -2.10
106 | -0.5 | 2.12 | 0.5 | -2.12
107 | -0.5 | 2.14 | 0.5 | -2.14
108 | -0.5 | 2.16 | 0.5 | -2.16
109 | -0.5 | 2.18 | 0.5 | -2.18
110 | -0.5 | 2.20 | 0.5 | -2.20
111 | -0.5 | 2.22 | 0.5 | -2.22
112 | -0.5 | 2.24 | 0.5 | -2.24
113 | -0.5 | 2.26 | 0.5 | -2.26
114 | -0.5 | 2.28 | 0.5 | -2.28
115 | -0.5 | 2.30 | 0.5 | -2.30
116 | -0.5 | 2.32 | 0.5 | -2.32
117 | -0.5 | 2.34 | 0.5 | -2.34
118 | -0.5 | 2.36 | 0.5 | -2.36
119 | -0.5 | 2.38 | 0.5 | -2.38
120 | -0.5 | 2.40 | 0.5 | -2.40
121 | -0.5 | 2.42 | 0.5 | -2.42
122 | -0.5 | 2.44 | 0.5 | -2.44
123 | -0.5 | 2.46 | 0.5 | -2.46
124 | -0.5 | 2.48 | 0.5 | -2.48
125 | -0.5 | 2.50 | 0.5 | -2.50
126 | -0.5 | 2.52 | 0.5 | -2.52
127 | -0.5 | 2.54 | 0.5 | -2.54
128 | -0.5 | 2.56 | 0.5 | -2.56
129 | -0.5 | 2.58 | 0.5 | -2.58
130 | -0.5 | 2.60 | 0.5 | -2.60
131 | -0.5 | 2.62 | 0.5 | -2.62
132 | -0.5 | 2.64 | 0.5 | -2.64
133 | -0.5 | 2.66 | 0.5 | -2.66
134 | -0.5 | 2.68 | 0.5 | -2.68
135 | -0.5 | 2.70 | 0.5 | -2.70
136 | -0.5 | 2.72 | 0.5 | -2.72
137 | -0.5 | 2.74 | 0.5 | -2.74
138 | -0.5 | 2.76 | 0.5 | -2.76
139 | -0.5 | 2.78 | 0.5 | -2.78
140 | -0.5 | 2.80 | 0.5 | -2.80
141 | -0.5 | 2.82 | 0.5 | -2.82
142 | -0.5 | 2.84 | 0.5 | -2.84
143 | -0.5 | 2.86 | 0.5 | -2.86
144 | -0.5 | 2.88 | 0.5 | -2.88
145 | -0.5 | 2.90 | 0.5 | -2.90
146 | -0.5 | 2.92 | 0.5 | -2.92
147 | -0.5 | 2.94 | 0.5 | -2.94
148 | -0.5 | 2.96 | 0.5 | -2.96
149 | -0.5 | 2.98 | 0.5 | -2.98
150 | -0.5 | 3.00 | 0.5 | -3.00
151 | -0.5 | 3.02 | 0.5 | -3.02
152 | -0.5 | 3.04 | 0.5 | -3.04
153 | -0.5 | 3.06 | 0.5 | -3.06
154 | -0.5 | 3.08 | 0.5 | -3.08
155 | -0.5 | 3.10 | 0.5 | -3.10
156 | -0.5 | 3.12 | 0.5 | -3.12
157 | -0.5 | 3.14 | 0.5 | -3.14
158 | -0.5 | 3.16 | 0.5 | -3.16
159 | -0.5 | 3.18 | 0.5 | -3.18
160 | -0.5 | 3.20 | 0.5 | -3.20
161 | -0.5 | 3.22 | 0.5 | -3.22
162 | -0.5 | 3.24 | 0.5 | -3.24
163 | -0.5 | 3.26 | 0.5 | -3.26
164 | -0.5 | 3.28 | 0.5 | -3.28
165 | -0.5 | 3.30 | 0.5 | -3.30
166 | -0.5 | 3.32 | 0.5 | -3.32
167 | -0.5 | 3.34 | 0.5 | -3.34
168 | -0.5 | 3.36 | 0.5 | -3.36
169 | -0.5 | 3.38 | 0.5 | -3.38
170 | -0.5 | 3.40 | 0.5 | -3.40
171 | -0.5 | 3.42 | 0.5 | -3.42
172 | -0.5 | 3.44 | 0.5 | -3.44
173 | -0.5 | 3.46 | 0.5 | -3.46
174 | -0.5 | 3.48 | 0.5 | -3.48
175 | -0.5 | 3.50 | 0.5 | -3.50
176 | -0.5 | 3.52 | 0.5 | -3.52
177 | -0.5 | 3.54 | 0.5 | -3.54
178 | -0.5 | 3.56 | 0.5 | -3.56
179 | -0.5 | 3.58 | 0.5 | -3.58
180 | -0.5 | 3.60 | 0.5 | -3.60
181 | -0.5 | 3.62 | 0.5 | -3.62
182 | -0.5 | 3.64 | 0.5 | -3.64
183 | -0.5 | 3.66 | 0.5 | -3.66
184 | -0.5 | 3.68 | 0.5 | -3.68
185 | -0.5 | 3.70 | 0.5 | -3.70
186 | -0.5 | 3.72 | 0.5 | -3.72
187 | -0.5 | 3.74 | 0.5 | -3.74
188 | -0.5 | 3.76 | 0.5 | -3.76
189 | -0.5 | 3.78 | 0.5 | -3.78
190 | -0.5 | 3.80 | 0.5 | -3.80
191 | -0.5 | 3.82 | 0.5 | -3.82
192 | -0.5 | 3.84 | 0.5 | -3.84
193 | -0.5 | 3.86 | 0.5 | -3.86
194 | -0.5 | 3.88 | 0.5 | -3.88
195 | -0.5 | 3.90 | 0.5 | -3.90
196 | -0.5 | 3.92 | 0.5 | -3.92
197 | -0.5 | 3.94 | 0.5 | -3.94
198 | -0.5 | 3.96 | 0.5 | -3.96
199 | -0.5 | 3.98 | 0.5 | -3.98
200 | -0.5 | 4.00 | 0.5 | -4.00
201 | -0.5 | 4.02 | 0.5 | -4.02
202 | -0.5 | 4.04 | 0.5 | -4.04
203 | -0.5 | 4.06 | 0.5 | -4.06
204 | -0.5 | 4.08 | 0.5 | -4.08
205 | -0.5 | 4.10 | 0.5 | -4.10
206 | -0.5 | 4.12 | 0.5 | -4.12
207 | -0.5 | 4.14 | 0.5 | -4.14
208 | -0.5 | 4.16 | 0.5 | -4.16
209 | -0.5 | 4.18 | 0.5 | -4.18
210 | -0.5 | 4.20 | 0.5 | -4.20
211 | -0.5 | 4.22 | 0.5 | -4.22
212 | -0.5 | 4.24 | 0.5 | -4.24
213 | -0.5 | 4.26 | 0.5 | -4.26
214 | -0.5 | 4.28 | 0.5 | -4.28
215 | -0.5 | 4.30 | 0.5 | -4.30
216 | -0.5 | 4.32 | 0.5 | -4.32
217 | -0.5 | 4.34 | 0.5 | -4.34
218 | -0.5 | 4.36 | 0.5 | -4.36
219 | -0.5 | 4.38 | 0.5 | -4.38
220 | -0.5 | 4.40 | 0.5 | -4.40
221 | -0.5 | 4.42 | 0.5 | -4.42
222 | -0.5 | 4.44 | 0.5 | -4.44
223 | -0.5 | 4.46 | 0.5 | -4.46
224 | -0.5 | 4.48 | 0.5 | -4.48
225 | -0.5 | 4.50 | 0.5 | -4.50
226 | -0.5 | 4.52 | 0.5 | -4.52
227 | -0.5 | 4.54 | 0.5 | -4.54
228 | -0.5 | 4.56 | 0.5 | -4.56
229 | -0.5 | 4.58 | 0.5 | -4.58
230 | -0.5 | 4.60 | 0.5 | -4.60
231 | -0.5 | 4.62 | 0.5 | -4.62
232 | -0.5 | 4.64 | 0.5 | -4.64
