Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.05 | 0.5 | -0.05
11 | -0.5 | 0.06 | 0.5 | -0.06
12 | -0.5 | 0.06 | 0.5 | -0.06
13 | -0.5 | 0.07 | 0.5 | -0.07
14 | -0.5 | 0.07 | 0.5 | -0.07
15 | -0.5 | 0.07 | 0.5 | -0.07
16 | -0.5 | 0.08 | 0.5 | -0.08
17 | -0.5 | 0.09 | 0.5 | -0.09
18 | -0.5 | 0.09 | 0.5 | -0.09
19 | -0.5 | 0.10 | 0.5 | -0.10
20 | -0.5 | 0.10 | 0.5 | -0.10
21 | -0.5 | 0.10 | 0.5 | -0.10
22 | -0.5 | 0.11 | 0.5 | -0.11
23 | -0.5 | 0.12 | 0.5 | -0.12
24 | -0.5 | 0.12 | 0.5 | -0.12
25 | -0.5 | 0.12 | 0.5 | -0.12
26 | -0.5 | 0.13 | 0.5 | -0.13
27 | -0.5 | 0.14 | 0.5 | -0.14
28 | -0.5 | 0.14 | 0.5 | -0.14
29 | -0.5 | 0.14 | 0.5 | -0.14
30 | -0.5 | 0.15 | 0.5 | -0.15
31 | -0.5 | 0.15 | 0.5 | -0.15
32 | -0.5 | 0.16 | 0.5 | -0.16
33 | -0.5 | 0.17 | 0.5 | -0.17
34 | -0.5 | 0.17 | 0.5 | -0.17
35 | -0.5 | 0.17 | 0.5 | -0.17
36 | -0.5 | 0.18 | 0.5 | -0.18
37 | -0.5 | 0.18 | 0.5 | -0.18
38 | -0.5 | 0.19 | 0.5 | -0.19
39 | -0.5 | 0.20 | 0.5 | -0.20
40 | -0.5 | 0.20 | 0.5 | -0.20
41 | -0.5 | 0.20 | 0.5 | -0.20
42 | -0.5 | 0.21 | 0.5 | -0.21
43 | -0.5 | 0.21 | 0.5 | -0.21
44 | -0.5 | 0.22 | 0.5 | -0.22
45 | -0.5 | 0.23 | 0.5 | -0.23
46 | -0.5 | 0.23 | 0.5 | -0.23
47 | -0.5 | 0.23 | 0.5 | -0.23
48 | -0.5 | 0.24 | 0.5 | -0.24
49 | -0.5 | 0.24 | 0.5 | -0.24
50 | -0.5 | 0.25 | 0.5 | -0.25
51 | -0.5 | 0.26 | 0.5 | -0.26
52 | -0.5 | 0.26 | 0.5 | -0.26
53 | -0.5 | 0.27 | 0.5 | -0.27
54 | -0.5 | 0.27 | 0.5 | -0.27
55 | -0.5 | 0.28 | 0.5 | -0.28
56 | -0.5 | 0.28 | 0.5 | -0.28
57 | -0.5 | 0.28 | 0.5 | -0.28
58 | -0.5 | 0.29 | 0.5 | -0.29
59 | -0.5 | 0.29 | 0.5 | -0.29
60 | -0.5 | 0.30 | 0.5 | -0.30
61 | -0.5 | 0.30 | 0.5 | -0.30
62 | -0.5 | 0.31 | 0.5 | -0.31
63 | -0.5 | 0.32 | 0.5 | -0.32
64 | -0.5 | 0.32 | 0.5 | -0.32
65 | -0.5 | 0.33 | 0.5 | -0.33
66 | -0.5 | 0.33 | 0.5 | -0.33
67 | -0.5 | 0.34 | 0.5 | -0.34
68 | -0.5 | 0.34 | 0.5 | -0.34
69 | -0.5 | 0.34 | 0.5 | -0.34
70 | -0.5 | 0.35 | 0.5 | -0.35
71 | -0.5 | 0.35 | 0.5 | -0.35
72 | -0.5 | 0.36 | 0.5 | -0.36
73 | -0.5 | 0.36 | 0.5 | -0.36
74 | -0.5 | 0.37 | 0.5 | -0.37
75 | -0.5 | 0.38 | 0.5 | -0.38
76 | -0.5 | 0.38 | 0.5 | -0.38
77 | -0.5 | 0.39 | 0.5 | -0.39
78 | -0.5 | 0.39 | 0.5 | -0.39
79 | -0.5 | 0.40 | 0.5 | -0.40
80 | -0.5 | 0.40 | 0.5 | -0.40
81 | -0.5 | 0.41 | 0.5 | -0.41
82 | -0.5 | 0.41 | 0.5 | -0.41
83 | -0.5 | 0.41 | 0.5 | -0.41
84 | -0.5 | 0.42 | 0.5 | -0.42
85 | -0.5 | 0.42 | 0.5 | -0.42
86 | -0.5 | 0.43 | 0.5 | -0.43
87 | -0.5 | 0.43 | 0.5 | -0.43
88 | -0.5 | 0.44 | 0.5 | -0.44
89 | -0.5 | 0.45 | 0.5 | -0.45
90 | -0.5 | 0.45 | 0.5 | -0.45
91 | -0.5 | 0.46 | 0.5 | -0.46
92 | -0.5 | 0.46 | 0.5 | -0.46
93 | -0.5 | 0.47 | 0.5 | -0.47
94 | -0.5 | 0.47 | 0.5 | -0.47
95 | -0.5 | 0.47 | 0.5 | -0.47
96 | -0.5 | 0.48 | 0.5 | -0.48
97 | -0.5 | 0.48 | 0.5 | -0.48
98 | -0.5 | 0.49 | 0.5 | -0.49
99 | -0.5 | 0.49 | 0.5 | -0.49
100 | -0.5 | 0.50 | 0.5 | -0.50
101 | -0.5 | 0.51 | 0.5 | -0.51
102 | -0.5 | 0.51 | 0.5 | -0.51
103 | -0.5 | 0.52 | 0.5 | -0.52
104 | -0.5 | 0.52 | 0.5 | -0.52
105 | -0.5 | 0.53 | 0.5 | -0.53
106 | -0.5 | 0.53 | 0.5 | -0.53
107 | -0.5 | 0.54 | 0.5 | -0.54
108 | -0.5 | 0.54 | 0.5 | -0.54
109 | -0.5 | 0.55 | 0.5 | -0.55
110 | -0.5 | 0.55 | 0.5 | -0.55
111 | -0.5 | 0.56 | 0.5 | -0.56
112 | -0.5 | 0.56 | 0.5 | -0.56
113 | -0.5 | 0.56 | 0.5 | -0.56
114 | -0.5 | 0.57 | 0.5 | -0.57
115 | -0.5 | 0.57 | 0.5 | -0.57
116 | -0.5 | 0.58 | 0.5 | -0.58
117 | -0.5 | 0.58 | 0.5 | -0.58
118 | -0.5 | 0.59 | 0.5 | -0.59
119 | -0.5 | 0.59 | 0.5 | -0.59
120 | -0.5 | 0.60 | 0.5 | -0.60
121 | -0.5 | 0.60 | 0.5 | -0.60
122 | -0.5 | 0.61 | 0.5 | -0.61
123 | -0.5 | 0.61 | 0.5 | -0.61
124 | -0.5 | 0.62 | 0.5 | -0.62
125 | -0.5 | 0.62 | 0.5 | -0.62
126 | -0.5 | 0.63 | 0.5 | -0.63
127 | -0.5 | 0.64 | 0.5 | -0.64
128 | -0.5 | 0.64 | 0.5 | -0.64
129 | -0.5 | 0.65 | 0.5 | -0.65
130 | -0.5 | 0.65 | 0.5 | -0.65
131 | -0.5 | 0.66 | 0.5 | -0.66
132 | -0.5 | 0.66 | 0.5 | -0.66
133 | -0.5 | 0.67 | 0.5 | -0.67
134 | -0.5 | 0.67 | 0.5 | -0.67
135 | -0.5 | 0.68 | 0.5 | -0.68
136 | -0.5 | 0.68 | 0.5 | -0.68
137 | -0.5 | 0.69 | 0.5 | -0.69
138 | -0.5 | 0.69 | 0.5 | -0.69
139 | -0.5 | 0.69 | 0.5 | -0.69
140 | -0.5 | 0.70 | 0.5 | -0.70
141 | -0.5 | 0.70 | 0.5 | -0.70
142 | -0.5 | 0.71 | 0.5 | -0.71
143 | -0.5 | 0.71 | 0.5 | -0.71
144 | -0.5 | 0.72 | 0.5 | -0.72
145 | -0.5 | 0.72 | 0.5 | -0.72
146 | -0.5 | 0.73 | 0.5 | -0.73
147 | -0.5 | 0.73 | 0.5 | -0.73
148 | -0.5 | 0.74 | 0.5 | -0.74
149 | -0.5 | 0.74 | 0.5 | -0.74
150 | -0.5 | 0.75 | 0.5 | -0.75
151 | -0.5 | 0.76 | 0.5 | -0.76
152 | -0.5 | 0.76 | 0.5 | -0.76
153 | -0.5 | 0.77 | 0.5 | -0.77
154 | -0.5 | 0.77 | 0.5 | -0.77
155 | -0.5 | 0.78 | 0.5 | -0.78
156 | -0.5 | 0.78 | 0.5 | -0.78
157 | -0.5 | 0.79 | 0.5 | -0.79
158 | -0.5 | 0.79 | 0.5 | -0.79
159 | -0.5 | 0.80 | 0.5 | -0.80
160 | -0.5 | 0.80 | 0.5 | -0.80
161 | -0.5 | 0.81 | 0.5 | -0.81
162 | -0.5 | 0.81 | 0.5 | -0.81
163 | -0.5 | 0.81 | 0.5 | -0.81
164 | -0.5 | 0.82 | 0.5 | -0.82
165 | -0.5 | 0.82 | 0.5 | -0.82
166 | -0.5 | 0.83 | 0.5 | -0.83
167 | -0.5 | 0.83 | 0.5 | -0.83
168 | -0.5 | 0.84 | 0.5 | -0.84
169 | -0.5 | 0.84 | 0.5 | -0.84
170 | -0.5 | 0.85 | 0.5 | -0.85
171 | -0.5 | 0.85 | 0.5 | -0.85
172 | -0.5 | 0.86 | 0.5 | -0.86
173 | -0.5 | 0.86 | 0.5 | -0.86
174 | -0.5 | 0.87 | 0.5 | -0.87
175 | -0.5 | 0.88 | 0.5 | -0.88
176 | -0.5 | 0.88 | 0.5 | -0.88
177 | -0.5 | 0.89 | 0.5 | -0.89
178 | -0.5 | 0.89 | 0.5 | -0.89
179 | -0.5 | 0.90 | 0.5 | -0.90
180 | -0.5 | 0.90 | 0.5 | -0.90
181 | -0.5 | 0.91 | 0.5 | -0.91
182 | -0.5 | 0.91 | 0.5 | -0.91
183 | -0.5 | 0.92 | 0.5 | -0.92
184 | -0.5 | 0.92 | 0.5 | -0.92
185 | -0.5 | 0.93 | 0.5 | -0.93
186 | -0.5 | 0.93 | 0.5 | -0.93
187 | -0.5 | 0.94 | 0.5 | -0.94
188 | -0.5 | 0.94 | 0.5 | -0.94
189 | -0.5 | 0.94 | 0.5 | -0.94
190 | -0.5 | 0.95 | 0.5 | -0.95
191 | -0.5 | 0.95 | 0.5 | -0.95
192 | -0.5 | 0.96 | 0.5 | -0.96
193 | -0.5 | 0.96 | 0.5 | -0.96
194 | -0.5 | 0.97 | 0.5 | -0.97
195 | -0.5 | 0.97 | 0.5 | -0.97
196 | -0.5 | 0.98 | 0.5 | -0.98
197 | -0.5 | 0.98 | 0.5 | -0.98
198 | -0.5 | 0.99 | 0.5 | -0.99
199 | -0.5 | 0.99 | 0.5 | -0.99
200 | -0.5 | 1.00 | 0.5 | -1.00
201 | -0.5 | 1.00 | 0.5 | -1.00
202 | -0.5 | 1.01 | 0.5 | -1.01
203 | -0.5 | 1.01 | 0.5 | -1.01
204 | -0.5 | 1.02 | 0.5 | -1.02
205 | -0.5 | 1.02 | 0.5 | -1.02
206 | -0.5 | 1.03 | 0.5 | -1.03
207 | -0.5 | 1.03 | 0.5 | -1.03
208 | -0.5 | 1.04 | 0.5 | -1.04
209 | -0.5 | 1.04 | 0.5 | -1.04
210 | -0.5 | 1.05 | 0.5 | -1.05
211 | -0.5 | 1.05 | 0.5 | -1.05
212 | -0.5 | 1.06 | 0.5 | -1.06
213 | -0.5 | 1.06 | 0.5 | -1.06
214 | -0.5 | 1.07 | 0.5 | -1.07
215 | -0.5 | 1.07 | 0.5 | -1.07
216 | -0.5 | 1.08 | 0.5 | -1.08
217 | -0.5 | 1.08 | 0.5 | -1.08
218 | -0.5 | 1.09 | 0.5 | -1.09
219 | -0.5 | 1.09 | 0.5 | -1.09
220 | -0.5 | 1.10 | 0.5 | -1.10
221 | -0.5 | 1.10 | 0.5 | -1.10
222 | -0.5 | 1.11 | 0.5 | -1.11
223 | -0.5 | 1.11 | 0.5 | -1.11
224 | -0.5 | 1.12 | 0.5 | -1.12
225 | -0.5 | 1.12 | 0.5 | -1.12
226 | -0.5 | 1.13 | 0.5 | -1.13
227 | -0.5 | 1.14 | 0.5 | -1.14
228 | -0.5 | 1.14 | 0.5 | -1.14
229 | -0.5 | 1.15 | 0.5 | -1.15
230 | -0.5 | 1.15 | 0.5 | -1.15
231 | -0.5 | 1.16 | 0.5 | -1.16
232 | -0.5 | 1.16 | 0.5 | -1.16
233 | -0.5 | 1.17 | 0.5 | -1.17
234 | -0.5 | 1.17 | 0.5 | -1.17
235 | -0.5 | 1.18 | 0.5 | -1.18
236 | -0.5 | 1.18 | 0.5 | -1.18
237 | -0.5 | 1.19 | 0.5 | -1.19
238 | -0.5 | 1.19 | 0.5 | -1.19
239 | -0.5 | 1.20 | 0.5 | -1.20
240 | -0.5 | 1.20 | 0.5 | -1.20
241 | -0.5 | 1.21 | 0.5 | -1.21
242 | -0.5 | 1.21 | 0.5 | -1.21
243 | -0.5 | 1.22 | 0.5 | -1.22
244 | -0.5 | 1.22 | 0.5 | -1.22
245 | -0.5 | 1.23 | 0.5 | -1.23
246 | -0.5 | 1.23 | 0.5 | -1.23
247 | -0.5 | 1.24 | 0.5 | -1.24
248 | -0.5 | 1.24 | 0.5 | -1.24
249 | -0.5 | 1.25 | 0.5 | -1.25
250 | -0.5 | 1.25 | 0.5 | -1.25
251 | -0.5 | 1.25 | 0.5 | -1.25
252 | -0.5 | 1.26 | 0.5 | -1.26
253 | -0.5 | 1.26 | 0.5 | -1.26
254 | -0.5 | 1.27 | 0.5 | -1.27
255 | -0.5 | 1.27 | 0.5 | -1.27
256 | -0.5 | 1.28 | 0.5 | -1.28
257 | -0.5 | 1.28 | 0.5 | -1.28
258 | -0.5 | 1.29 | 0.5 | -1.29
259 | -0.5 | 1.29 | 0.5 | -1.29
260 | -0.5 | 1.30 | 0.5 | -1.30
261 | -0.5 | 1.30 | 0.5 | -1.30
262 | -0.5 | 1.31 | 0.5 | -1.31
263 | -0.5 | 1.31 | 0.5 | -1.31
264 | -0.5 | 1.32 | 0.5 | -1.32
265 | -0.5 | 1.32 | 0.5 | -1.32
266 | -0.5 | 1.33 | 0.5 | -1.33
267 | -0.5 | 1.33 | 0.5 | -1.33
268 | -0.5 | 1.34 | 0.5 | -1.34
269 | -0.5 | 1.34 | 0.5 | -1.34
270 | -0.5 | 1.35 | 0.5 | -1.35
271 | -0.5 | 1.35 | 0.5 | -1.35
272 | -0.5 | 1.36 | 0.5 | -1.36
273 | -0.5 | 1.36 | 0.5 | -1.36
274 | -0.5 | 1.37 | 0.5 | -1.37
275 | -0.5 | 1.38 | 0.5 | -1.38
276 | -0.5 | 1.38 | 0.5 | -1.38
277 | -0.5 | 1.39 | 0.5 | -1.39
278 | -0.5 | 1.39 | 0.5 | -1.39
279 | -0.5 | 1.40 | 0.5 | -1.40
280 | -0.5 | 1.40 | 0.5 | -1.40
281 | -0.5 | 1.41 | 0.5 | -1.41
282 | -0.5 | 1.41 | 0.5 | -1.41
283 | -0.5 | 1.42 | 0.5 | -1.42
284 | -0.5 | 1.42 | 0.5 | -1.42
285 | -0.5 | 1.43 | 0.5 | -1.43
286 | -0.5 | 1.43 | 0.5 | -1.43
287 | -0.5 | 1.44 | 0.5 | -1.44
288 | -0.5 | 1.44 | 0.5 | -1.44
289 | -0.5 | 1.45 | 0.5 | -1.45
290 | -0.5 | 1.45 | 0.5 | -1.45
291 | -0.5 | 1.46 | 0.5 | -1.46
292 | -0.5 | 1.46 | 0.5 | -1.46
293 | -0.5 | 1.47 | 0.5 | -1.47
294 | -0.5 | 1.47 | 0.5 | -1.47
295 | -0.5 | 1.48 | 0.5 | -1.48
296 | -0.5 | 1.48 | 0.5 | -1.48
297 | -0.5 | 1.49 | 0.5 | -1.49
298 | -0.5 | 1.49 | 0.5 | -1.49
299 | -0.5 | 1.50 | 0.5 | -1.50
300 | -0.5 | 1.50 | 0.5 | -1.50
301 | -0.5 | 1.50 | 0.5 | -1.50
302 | -0.5 | 1.51 | 0.5 | -1.51
303 | -0.5 | 1.51 | 0.5 | -1.51
304 | -0.5 | 1.52 | 0.5 | -1.52
305 | -0.5 | 1.52 | 0.5 | -1.52
306 | -0.5 | 1.53 | 0.5 | -1.53
307 | -0.5 | 1.53 | 0.5 | -1.53
308 | -0.5 | 1.54 | 0.5 | -1.54
309 | -0.5 | 1.54 | 0.5 | -1.54
310 | -0.5 | 1.55 | 0.5 | -1.55
311 | -0.5 | 1.55 | 0.5 | -1.55
312 | -0.5 | 1.56 | 0.5 | -1.56
313 | -0.5 | 1.56 | 0.5 | -1.56
314 | -0.5 | 1.57 | 0.5 | -1.57
315 | -0.5 | 1.57 | 0.5 | -1.57
316 | -0.5 | 1.58 | 0.5 | -1.58
317 | -0.5 | 1.58 | 0.5 | -1.58
318 | -0.5 | 1.59 | 0.5 | -1.59
319 | -0.5 | 1.59 | 0.5 | -1.59
320 | -0.5 | 1.60 | 0.5 | -1.60
321 | -0.5 | 1.60 | 0.5 | -1.60
322 | -0.5 | 1.61 | 0.5 | -1.61
323 | -0.5 | 1.61 | 0.5 | -1.61
324 | -0.5 | 1.62 | 0.5 | -1.62
325 | -0.5 | 1.62 | 0.5 | -1.62
326 | -0.5 | 1.63 | 0.5 | -1.63
327 | -0.5 | 1.64 | 0.5 | -1.64
328 | -0.5 | 1.64 | 0.5 | -1.64
329 | -0.5 | 1.65 | 0.5 | -1.65
330 | -0.5 | 1.65 | 0.5 | -1.65
331 | -0.5 | 1.66 | 0.5 | -1.66
332 | -0.5 | 1.66 | 0.5 | -1.66
333 | -0.5 | 1.67 | 0.5 | -1.67
334 | -0.5 | 1.67 | 0.5 | -1.67
335 | -0.5 | 1.68 | 0.5 | -1.68
336 | -0.5 | 1.68 | 0.5 | -1.68
337 | -0.5 | 1.69 | 0.5 | -1.69
338 | -0.5 | 1.69 | 0.5 | -1.69
339 | -0.5 | 1.70 | 0.5 | -1.70
340 | -0.5 | 1.70 | 0.5 | -1.70
341 | -0.5 | 1.71 | 0.5 | -1.71
342 | -0.5 | 1.71 | 0.5 | -1.71
343 | -0.5 | 1.72 | 0.5 | -1.72
344 | -0.5 | 1.72 | 0.5 | -1.72
345 | -0.5 | 1.73 | 0.5 | -1.73
346 | -0.5 | 1.73 | 0.5 | -1.73
347 | -0.5 | 1.74 | 0.5 | -1.74
348 | -0.5 | 1.74 | 0.5 | -1.74
349 | -0.5 | 1.75 | 0.5 | -1.75
350 | -0.5 | 1.75 | 0.5 | -1.75
351 | -0.5 | 1.75 | 0.5 | -1.75
352 | -0.5 | 1.76 | 0.5 | -1.76
353 | -0.5 | 1.76 | 0.5 | -1.76
354 | -0.5 | 1.77 | 0.5 | -1.77
355 | -0.5 | 1.77 | 0.5 | -1.77
356 | -0.5 | 1.78 | 0.5 | -1.78
357 | -0.5 | 1.78 | 0.5 | -1.78
358 | -0.5 | 1.79 | 0.5 | -1.79
359 | -0.5 | 1.79 | 0.5 | -1.79
360 | -0.5 | 1.80 | 0.5 | -1.80
361 | -0.5 | 1.80 | 0.5 | -1.80
362 | -0.5 | 1.81 | 0.5 | -1.81
363 | -0.5 | 1.81 | 0.5 | -1.81
364 | -0.5 | 1.82 | 0.5 | -1.82
365 | -0.5 | 1.82 | 0.5 | -1.82
366 | -0.5 | 1.83 | 0.5 | -1.83
367 | -0.5 | 1.83 | 0.5 | -1.83
368 | -0.5 | 1.84 | 0.5 | -1.84
369 | -0.5 | 1.84 | 0.5 | -1.84
370 | -0.5 | 1.85 | 0.5 | -1.85
371 | -0.5 | 1.85 | 0.5 | -1.85
372 | -0.5 | 1.86 | 0.5 | -1.86
373 | -0.5 | 1.86 | 0.5 | -1.86
374 | -0.5 | 1.87 | 0.5 | -1.87
375 | -0.5 | 1.88 | 0.5 | -1.88
376 | -0.5 | 1.88 | 0.5 | -1.88
377 | -0.5 | 1.89 | 0.5 | -1.89
378 | -0.5 | 1.89 | 0.5 | -1.89
379 | -0.5 | 1.90 | 0.5 | -1.90
380 | -0.5 | 1.90 | 0.5 | -1.90
381 | -0.5 | 1.91 | 0.5 | -1.91
382 | -0.5 | 1.91 | 0.5 | -1.91
383 | -0.5 | 1.92 | 0.5 | -1.92
384 | -0.5 | 1.92 | 0.5 | -1.92
385 | -0.5 | 1.93 | 0.5 | -1.93
386 | -0.5 | 1.93 | 0.5 | -1.93
387 | -0.5 | 1.94 | 0.5 | -1.94
388 | -0.5 | 1.94 | 0.5 | -1.94
389 | -0.5 | 1.95 | 0.5 | -1.95
390 | -0.5 | 1.95 | 0.5 | -1.95
391 | -0.5 | 1.96 | 0.5 | -1.96
392 | -0.5 | 1.96 | 0.5 | -1.96
393 | -0.5 | 1.97 | 0.5 | -1.97
394 | -0.5 | 1.97 | 0.5 | -1.97
395 | -0.5 | 1.98 | 0.5 | -1.98
396 | -0.5 | 1.98 | 0.5 | -1.98
397 | -0.5 | 1.99 | 0.5 | -1.99
398 | -0.5 | 1.99 | 0.5 | -1.99
399 | -0.5 | 2.00 | 0.5 | -2.00
400 | -0.5 | 2.00 | 0.5 | -2.00
