Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
391 | -0.5 | 3.91 | 0.5 | -3.91
392 | -0.5 | 3.92 | 0.5 | -3.92
393 | -0.5 | 3.93 | 0.5 | -3.93
394 | -0.5 | 3.94 | 0.5 | -3.94
395 | -0.5 | 3.95 | 0.5 | -3.95
396 | -0.5 | 3.96 | 0.5 | -3.96
397 | -0.5 | 3.97 | 0.5 | -3.97
398 | -0.5 | 3.98 | 0.5 | -3.98
399 | -0.5 | 3.99 | 0.5 | -3.99
400 | -0.5 | 4.00 | 0.5 | -4.00
