Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.12 | 0.5 | -0.12
11 | -0.5 | 0.14 | 0.5 | -0.14
12 | -0.5 | 0.15 | 0.5 | -0.15
13 | -0.5 | 0.16 | 0.5 | -0.16
14 | -0.5 | 0.17 | 0.5 | -0.17
15 | -0.5 | 0.19 | 0.5 | -0.19
16 | -0.5 | 0.20 | 0.5 | -0.20
17 | -0.5 | 0.21 | 0.5 | -0.21
18 | -0.5 | 0.23 | 0.5 | -0.23
19 | -0.5 | 0.24 | 0.5 | -0.24
20 | -0.5 | 0.25 | 0.5 | -0.25
21 | -0.5 | 0.26 | 0.5 | -0.26
22 | -0.5 | 0.28 | 0.5 | -0.28
23 | -0.5 | 0.29 | 0.5 | -0.29
24 | -0.5 | 0.30 | 0.5 | -0.30
25 | -0.5 | 0.31 | 0.5 | -0.31
26 | -0.5 | 0.33 | 0.5 | -0.33
27 | -0.5 | 0.34 | 0.5 | -0.34
28 | -0.5 | 0.35 | 0.5 | -0.35
29 | -0.5 | 0.36 | 0.5 | -0.36
30 | -0.5 | 0.38 | 0.5 | -0.38
31 | -0.5 | 0.39 | 0.5 | -0.39
32 | -0.5 | 0.40 | 0.5 | -0.40
33 | -0.5 | 0.41 | 0.5 | -0.41
34 | -0.5 | 0.42 | 0.5 | -0.42
35 | -0.5 | 0.44 | 0.5 | -0.44
36 | -0.5 | 0.45 | 0.5 | -0.45
37 | -0.5 | 0.46 | 0.5 | -0.46
38 | -0.5 | 0.47 | 0.5 | -0.47
39 | -0.5 | 0.49 | 0.5 | -0.49
40 | -0.5 | 0.50 | 0.5 | -0.50
41 | -0.5 | 0.51 | 0.5 | -0.51
42 | -0.5 | 0.53 | 0.5 | -0.53
43 | -0.5 | 0.54 | 0.5 | -0.54
44 | -0.5 | 0.55 | 0.5 | -0.55
45 | -0.5 | 0.56 | 0.5 | -0.56
46 | -0.5 | 0.57 | 0.5 | -0.57
47 | -0.5 | 0.59 | 0.5 | -0.59
48 | -0.5 | 0.60 | 0.5 | -0.60
49 | -0.5 | 0.61 | 0.5 | -0.61
50 | -0.5 | 0.62 | 0.5 | -0.62
51 | -0.5 | 0.64 | 0.5 | -0.64
52 | -0.5 | 0.65 | 0.5 | -0.65
53 | -0.5 | 0.66 | 0.5 | -0.66
54 | -0.5 | 0.68 | 0.5 | -0.68
55 | -0.5 | 0.69 | 0.5 | -0.69
56 | -0.5 | 0.70 | 0.5 | -0.70
57 | -0.5 | 0.71 | 0.5 | -0.71
58 | -0.5 | 0.72 | 0.5 | -0.72
59 | -0.5 | 0.74 | 0.5 | -0.74
60 | -0.5 | 0.75 | 0.5 | -0.75
61 | -0.5 | 0.76 | 0.5 | -0.76
62 | -0.5 | 0.78 | 0.5 | -0.78
63 | -0.5 | 0.79 | 0.5 | -0.79
64 | -0.5 | 0.80 | 0.5 | -0.80
65 | -0.5 | 0.81 | 0.5 | -0.81
66 | -0.5 | 0.82 | 0.5 | -0.82
67 | -0.5 | 0.84 | 0.5 | -0.84
68 | -0.5 | 0.85 | 0.5 | -0.85
69 | -0.5 | 0.86 | 0.5 | -0.86
70 | -0.5 | 0.88 | 0.5 | -0.88
71 | -0.5 | 0.89 | 0.5 | -0.89
72 | -0.5 | 0.90 | 0.5 | -0.90
73 | -0.5 | 0.91 | 0.5 | -0.91
74 | -0.5 | 0.93 | 0.5 | -0.93
75 | -0.5 | 0.94 | 0.5 | -0.94
76 | -0.5 | 0.95 | 0.5 | -0.95
77 | -0.5 | 0.96 | 0.5 | -0.96
78 | -0.5 | 0.97 | 0.5 | -0.97
79 | -0.5 | 0.99 | 0.5 | -0.99
80 | -0.5 | 1.00 | 0.5 | -1.00
81 | -0.5 | 1.01 | 0.5 | -1.01
82 | -0.5 | 1.02 | 0.5 | -1.02
83 | -0.5 | 1.04 | 0.5 | -1.04
84 | -0.5 | 1.05 | 0.5 | -1.05
85 | -0.5 | 1.06 | 0.5 | -1.06
86 | -0.5 | 1.07 | 0.5 | -1.07
87 | -0.5 | 1.09 | 0.5 | -1.09
88 | -0.5 | 1.10 | 0.5 | -1.10
89 | -0.5 | 1.11 | 0.5 | -1.11
90 | -0.5 | 1.12 | 0.5 | -1.12
91 | -0.5 | 1.14 | 0.5 | -1.14
92 | -0.5 | 1.15 | 0.5 | -1.15
93 | -0.5 | 1.16 | 0.5 | -1.16
94 | -0.5 | 1.18 | 0.5 | -1.18
95 | -0.5 | 1.19 | 0.5 | -1.19
96 | -0.5 | 1.20 | 0.5 | -1.20
97 | -0.5 | 1.21 | 0.5 | -1.21
98 | -0.5 | 1.23 | 0.5 | -1.23
99 | -0.5 | 1.24 | 0.5 | -1.24
100 | -0.5 | 1.25 | 0.5 | -1.25
101 | -0.5 | 1.26 | 0.5 | -1.26
102 | -0.5 | 1.27 | 0.5 | -1.27
103 | -0.5 | 1.29 | 0.5 | -1.29
104 | -0.5 | 1.30 | 0.5 | -1.30
105 | -0.5 | 1.31 | 0.5 | -1.31
106 | -0.5 | 1.32 | 0.5 | -1.32
107 | -0.5 | 1.34 | 0.5 | -1.34
108 | -0.5 | 1.35 | 0.5 | -1.35
109 | -0.5 | 1.36 | 0.5 | -1.36
110 | -0.5 | 1.38 | 0.5 | -1.38
111 | -0.5 | 1.39 | 0.5 | -1.39
112 | -0.5 | 1.40 | 0.5 | -1.40
113 | -0.5 | 1.41 | 0.5 | -1.41
114 | -0.5 | 1.43 | 0.5 | -1.43
115 | -0.5 | 1.44 | 0.5 | -1.44
116 | -0.5 | 1.45 | 0.5 | -1.45
117 | -0.5 | 1.46 | 0.5 | -1.46
118 | -0.5 | 1.48 | 0.5 | -1.48
119 | -0.5 | 1.49 | 0.5 | -1.49
120 | -0.5 | 1.50 | 0.5 | -1.50
121 | -0.5 | 1.51 | 0.5 | -1.51
122 | -0.5 | 1.52 | 0.5 | -1.52
123 | -0.5 | 1.54 | 0.5 | -1.54
124 | -0.5 | 1.55 | 0.5 | -1.55
125 | -0.5 | 1.56 | 0.5 | -1.56
126 | -0.5 | 1.57 | 0.5 | -1.57
127 | -0.5 | 1.59 | 0.5 | -1.59
128 | -0.5 | 1.60 | 0.5 | -1.60
129 | -0.5 | 1.61 | 0.5 | -1.61
130 | -0.5 | 1.62 | 0.5 | -1.62
131 | -0.5 | 1.64 | 0.5 | -1.64
132 | -0.5 | 1.65 | 0.5 | -1.65
133 | -0.5 | 1.66 | 0.5 | -1.66
134 | -0.5 | 1.68 | 0.5 | -1.68
135 | -0.5 | 1.69 | 0.5 | -1.69
136 | -0.5 | 1.70 | 0.5 | -1.70
137 | -0.5 | 1.71 | 0.5 | -1.71
138 | -0.5 | 1.73 | 0.5 | -1.73
139 | -0.5 | 1.74 | 0.5 | -1.74
140 | -0.5 | 1.75 | 0.5 | -1.75
141 | -0.5 | 1.76 | 0.5 | -1.76
142 | -0.5 | 1.77 | 0.5 | -1.77
143 | -0.5 | 1.79 | 0.5 | -1.79
144 | -0.5 | 1.80 | 0.5 | -1.80
145 | -0.5 | 1.81 | 0.5 | -1.81
146 | -0.5 | 1.82 | 0.5 | -1.82
147 | -0.5 | 1.84 | 0.5 | -1.84
148 | -0.5 | 1.85 | 0.5 | -1.85
149 | -0.5 | 1.86 | 0.5 | -1.86
150 | -0.5 | 1.88 | 0.5 | -1.88
151 | -0.5 | 1.89 | 0.5 | -1.89
152 | -0.5 | 1.90 | 0.5 | -1.90
153 | -0.5 | 1.91 | 0.5 | -1.91
154 | -0.5 | 1.93 | 0.5 | -1.93
155 | -0.5 | 1.94 | 0.5 | -1.94
156 | -0.5 | 1.95 | 0.5 | -1.95
157 | -0.5 | 1.96 | 0.5 | -1.96
158 | -0.5 | 1.98 | 0.5 | -1.98
159 | -0.5 | 1.99 | 0.5 | -1.99
160 | -0.5 | 2.00 | 0.5 | -2.00
161 | -0.5 | 2.01 | 0.5 | -2.01
162 | -0.5 | 2.02 | 0.5 | -2.02
163 | -0.5 | 2.04 | 0.5 | -2.04
164 | -0.5 | 2.05 | 0.5 | -2.05
165 | -0.5 | 2.06 | 0.5 | -2.06
166 | -0.5 | 2.08 | 0.5 | -2.08
167 | -0.5 | 2.09 | 0.5 | -2.09
168 | -0.5 | 2.10 | 0.5 | -2.10
169 | -0.5 | 2.11 | 0.5 | -2.11
170 | -0.5 | 2.12 | 0.5 | -2.12
171 | -0.5 | 2.14 | 0.5 | -2.14
172 | -0.5 | 2.15 | 0.5 | -2.15
173 | -0.5 | 2.16 | 0.5 | -2.16
174 | -0.5 | 2.17 | 0.5 | -2.17
175 | -0.5 | 2.19 | 0.5 | -2.19
176 | -0.5 | 2.20 | 0.5 | -2.20
177 | -0.5 | 2.21 | 0.5 | -2.21
178 | -0.5 | 2.23 | 0.5 | -2.23
179 | -0.5 | 2.24 | 0.5 | -2.24
180 | -0.5 | 2.25 | 0.5 | -2.25
181 | -0.5 | 2.26 | 0.5 | -2.26
182 | -0.5 | 2.27 | 0.5 | -2.27
183 | -0.5 | 2.29 | 0.5 | -2.29
184 | -0.5 | 2.30 | 0.5 | -2.30
185 | -0.5 | 2.31 | 0.5 | -2.31
186 | -0.5 | 2.33 | 0.5 | -2.33
187 | -0.5 | 2.34 | 0.5 | -2.34
188 | -0.5 | 2.35 | 0.5 | -2.35
189 | -0.5 | 2.36 | 0.5 | -2.36
190 | -0.5 | 2.38 | 0.5 | -2.38
191 | -0.5 | 2.39 | 0.5 | -2.39
192 | -0.5 | 2.40 | 0.5 | -2.40
193 | -0.5 | 2.41 | 0.5 | -2.41
194 | -0.5 | 2.42 | 0.5 | -2.42
195 | -0.5 | 2.44 | 0.5 | -2.44
196 | -0.5 | 2.45 | 0.5 | -2.45
197 | -0.5 | 2.46 | 0.5 | -2.46
198 | -0.5 | 2.48 | 0.5 | -2.48
199 | -0.5 | 2.49 | 0.5 | -2.49
200 | -0.5 | 2.50 | 0.5 | -2.50
201 | -0.5 | 2.51 | 0.5 | -2.51
202 | -0.5 | 2.52 | 0.5 | -2.52
203 | -0.5 | 2.54 | 0.5 | -2.54
204 | -0.5 | 2.55 | 0.5 | -2.55
205 | -0.5 | 2.56 | 0.5 | -2.56
206 | -0.5 | 2.58 | 0.5 | -2.58
207 | -0.5 | 2.59 | 0.5 | -2.59
208 | -0.5 | 2.60 | 0.5 | -2.60
209 | -0.5 | 2.61 | 0.5 | -2.61
210 | -0.5 | 2.62 | 0.5 | -2.62
211 | -0.5 | 2.64 | 0.5 | -2.64
212 | -0.5 | 2.65 | 0.5 | -2.65
213 | -0.5 | 2.66 | 0.5 | -2.66
214 | -0.5 | 2.67 | 0.5 | -2.67
215 | -0.5 | 2.69 | 0.5 | -2.69
216 | -0.5 | 2.70 | 0.5 | -2.70
217 | -0.5 | 2.71 | 0.5 | -2.71
218 | -0.5 | 2.73 | 0.5 | -2.73
219 | -0.5 | 2.74 | 0.5 | -2.74
220 | -0.5 | 2.75 | 0.5 | -2.75
221 | -0.5 | 2.76 | 0.5 | -2.76
222 | -0.5 | 2.77 | 0.5 | -2.77
223 | -0.5 | 2.79 | 0.5 | -2.79
224 | -0.5 | 2.80 | 0.5 | -2.80
225 | -0.5 | 2.81 | 0.5 | -2.81
