Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.03 | 0.5 | -0.03
11 | -0.5 | 0.03 | 0.5 | -0.03
12 | -0.5 | 0.03 | 0.5 | -0.03
13 | -0.5 | 0.03 | 0.5 | -0.03
14 | -0.5 | 0.04 | 0.5 | -0.04
15 | -0.5 | 0.04 | 0.5 | -0.04
16 | -0.5 | 0.04 | 0.5 | -0.04
17 | -0.5 | 0.04 | 0.5 | -0.04
18 | -0.5 | 0.04 | 0.5 | -0.04
19 | -0.5 | 0.05 | 0.5 | -0.05
20 | -0.5 | 0.05 | 0.5 | -0.05
21 | -0.5 | 0.05 | 0.5 | -0.05
22 | -0.5 | 0.06 | 0.5 | -0.06
23 | -0.5 | 0.06 | 0.5 | -0.06
24 | -0.5 | 0.06 | 0.5 | -0.06
25 | -0.5 | 0.06 | 0.5 | -0.06
26 | -0.5 | 0.07 | 0.5 | -0.07
27 | -0.5 | 0.07 | 0.5 | -0.07
28 | -0.5 | 0.07 | 0.5 | -0.07
29 | -0.5 | 0.07 | 0.5 | -0.07
30 | -0.5 | 0.07 | 0.5 | -0.07
31 | -0.5 | 0.08 | 0.5 | -0.08
32 | -0.5 | 0.08 | 0.5 | -0.08
33 | -0.5 | 0.08 | 0.5 | -0.08
34 | -0.5 | 0.09 | 0.5 | -0.09
35 | -0.5 | 0.09 | 0.5 | -0.09
36 | -0.5 | 0.09 | 0.5 | -0.09
37 | -0.5 | 0.09 | 0.5 | -0.09
38 | -0.5 | 0.10 | 0.5 | -0.10
39 | -0.5 | 0.10 | 0.5 | -0.10
40 | -0.5 | 0.10 | 0.5 | -0.10
41 | -0.5 | 0.10 | 0.5 | -0.10
42 | -0.5 | 0.10 | 0.5 | -0.10
43 | -0.5 | 0.11 | 0.5 | -0.11
44 | -0.5 | 0.11 | 0.5 | -0.11
45 | -0.5 | 0.11 | 0.5 | -0.11
46 | -0.5 | 0.12 | 0.5 | -0.12
47 | -0.5 | 0.12 | 0.5 | -0.12
48 | -0.5 | 0.12 | 0.5 | -0.12
49 | -0.5 | 0.12 | 0.5 | -0.12
50 | -0.5 | 0.12 | 0.5 | -0.12
51 | -0.5 | 0.13 | 0.5 | -0.13
52 | -0.5 | 0.13 | 0.5 | -0.13
53 | -0.5 | 0.13 | 0.5 | -0.13
54 | -0.5 | 0.14 | 0.5 | -0.14
55 | -0.5 | 0.14 | 0.5 | -0.14
56 | -0.5 | 0.14 | 0.5 | -0.14
57 | -0.5 | 0.14 | 0.5 | -0.14
58 | -0.5 | 0.14 | 0.5 | -0.14
59 | -0.5 | 0.15 | 0.5 | -0.15
60 | -0.5 | 0.15 | 0.5 | -0.15
61 | -0.5 | 0.15 | 0.5 | -0.15
62 | -0.5 | 0.15 | 0.5 | -0.15
63 | -0.5 | 0.16 | 0.5 | -0.16
64 | -0.5 | 0.16 | 0.5 | -0.16
65 | -0.5 | 0.16 | 0.5 | -0.16
66 | -0.5 | 0.17 | 0.5 | -0.17
67 | -0.5 | 0.17 | 0.5 | -0.17
68 | -0.5 | 0.17 | 0.5 | -0.17
69 | -0.5 | 0.17 | 0.5 | -0.17
70 | -0.5 | 0.17 | 0.5 | -0.17
71 | -0.5 | 0.18 | 0.5 | -0.18
72 | -0.5 | 0.18 | 0.5 | -0.18
73 | -0.5 | 0.18 | 0.5 | -0.18
74 | -0.5 | 0.18 | 0.5 | -0.18
75 | -0.5 | 0.19 | 0.5 | -0.19
76 | -0.5 | 0.19 | 0.5 | -0.19
77 | -0.5 | 0.19 | 0.5 | -0.19
78 | -0.5 | 0.20 | 0.5 | -0.20
79 | -0.5 | 0.20 | 0.5 | -0.20
80 | -0.5 | 0.20 | 0.5 | -0.20
81 | -0.5 | 0.20 | 0.5 | -0.20
82 | -0.5 | 0.20 | 0.5 | -0.20
83 | -0.5 | 0.21 | 0.5 | -0.21
84 | -0.5 | 0.21 | 0.5 | -0.21
85 | -0.5 | 0.21 | 0.5 | -0.21
86 | -0.5 | 0.21 | 0.5 | -0.21
87 | -0.5 | 0.22 | 0.5 | -0.22
88 | -0.5 | 0.22 | 0.5 | -0.22
89 | -0.5 | 0.22 | 0.5 | -0.22
90 | -0.5 | 0.23 | 0.5 | -0.23
91 | -0.5 | 0.23 | 0.5 | -0.23
92 | -0.5 | 0.23 | 0.5 | -0.23
93 | -0.5 | 0.23 | 0.5 | -0.23
94 | -0.5 | 0.23 | 0.5 | -0.23
95 | -0.5 | 0.24 | 0.5 | -0.24
96 | -0.5 | 0.24 | 0.5 | -0.24
97 | -0.5 | 0.24 | 0.5 | -0.24
98 | -0.5 | 0.24 | 0.5 | -0.24
99 | -0.5 | 0.25 | 0.5 | -0.25
100 | -0.5 | 0.25 | 0.5 | -0.25
101 | -0.5 | 0.25 | 0.5 | -0.25
102 | -0.5 | 0.26 | 0.5 | -0.26
103 | -0.5 | 0.26 | 0.5 | -0.26
104 | -0.5 | 0.26 | 0.5 | -0.26
105 | -0.5 | 0.26 | 0.5 | -0.26
106 | -0.5 | 0.27 | 0.5 | -0.27
