Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.01 | 0.5 | -0.01
11 | -0.5 | 0.01 | 0.5 | -0.01
12 | -0.5 | 0.01 | 0.5 | -0.01
13 | -0.5 | 0.01 | 0.5 | -0.01
14 | -0.5 | 0.01 | 0.5 | -0.01
15 | -0.5 | 0.01 | 0.5 | -0.01
16 | -0.5 | 0.01 | 0.5 | -0.01
17 | -0.5 | 0.01 | 0.5 | -0.01
18 | -0.5 | 0.01 | 0.5 | -0.01
19 | -0.5 | 0.01 | 0.5 | -0.01
20 | -0.5 | 0.01 | 0.5 | -0.01
21 | -0.5 | 0.01 | 0.5 | -0.01
22 | -0.5 | 0.01 | 0.5 | -0.01
23 | -0.5 | 0.01 | 0.5 | -0.01
24 | -0.5 | 0.01 | 0.5 | -0.01
25 | -0.5 | 0.01 | 0.5 | -0.01
26 | -0.5 | 0.01 | 0.5 | -0.01
27 | -0.5 | 0.01 | 0.5 | -0.01
28 | -0.5 | 0.01 | 0.5 | -0.01
29 | -0.5 | 0.01 | 0.5 | -0.01
30 | -0.5 | 0.01 | 0.5 | -0.01
31 | -0.5 | 0.02 | 0.5 | -0.02
32 | -0.5 | 0.02 | 0.5 | -0.02
33 | -0.5 | 0.02 | 0.5 | -0.02
34 | -0.5 | 0.02 | 0.5 | -0.02
35 | -0.5 | 0.02 | 0.5 | -0.02
36 | -0.5 | 0.02 | 0.5 | -0.02
37 | -0.5 | 0.02 | 0.5 | -0.02
38 | -0.5 | 0.02 | 0.5 | -0.02
39 | -0.5 | 0.02 | 0.5 | -0.02
40 | -0.5 | 0.02 | 0.5 | -0.02
41 | -0.5 | 0.02 | 0.5 | -0.02
42 | -0.5 | 0.02 | 0.5 | -0.02
43 | -0.5 | 0.02 | 0.5 | -0.02
44 | -0.5 | 0.02 | 0.5 | -0.02
45 | -0.5 | 0.02 | 0.5 | -0.02
46 | -0.5 | 0.02 | 0.5 | -0.02
47 | -0.5 | 0.02 | 0.5 | -0.02
48 | -0.5 | 0.02 | 0.5 | -0.02
49 | -0.5 | 0.02 | 0.5 | -0.02
50 | -0.5 | 0.03 | 0.5 | -0.03
51 | -0.5 | 0.03 | 0.5 | -0.03
52 | -0.5 | 0.03 | 0.5 | -0.03
53 | -0.5 | 0.03 | 0.5 | -0.03
54 | -0.5 | 0.03 | 0.5 | -0.03
55 | -0.5 | 0.03 | 0.5 | -0.03
56 | -0.5 | 0.03 | 0.5 | -0.03
